Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X1, mRNA",Pan troglodytes,12746,12746,100%,0.0,99.15,7200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009432080.5?report=genbank&log$=nucltop&blast_rank=1&RID=X1JTA680014"",""XM_009432080.5"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X7, mRNA",Pan troglodytes,12728,12728,100%,0.0,99.11,7197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669711.2?report=genbank&log$=nucltop&blast_rank=2&RID=X1JTA680014"",""XM_054669711.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X5, mRNA",Pan troglodytes,12728,12728,100%,0.0,99.11,7112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669710.2?report=genbank&log$=nucltop&blast_rank=3&RID=X1JTA680014"",""XM_054669710.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X3, mRNA",Pan troglodytes,12728,12728,100%,0.0,99.11,7197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669709.2?report=genbank&log$=nucltop&blast_rank=4&RID=X1JTA680014"",""XM_054669709.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X13, mRNA",Pan troglodytes,12707,12707,100%,0.0,99.07,7109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669717.2?report=genbank&log$=nucltop&blast_rank=5&RID=X1JTA680014"",""XM_054669717.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X11, mRNA",Pan troglodytes,12707,12707,100%,0.0,99.07,7194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_024350087.3?report=genbank&log$=nucltop&blast_rank=6&RID=X1JTA680014"",""XM_024350087.3"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X9, mRNA",Pan troglodytes,12707,12707,100%,0.0,99.07,7109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669714.2?report=genbank&log$=nucltop&blast_rank=7&RID=X1JTA680014"",""XM_054669714.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X2, mRNA",Pan troglodytes,12707,12707,100%,0.0,99.07,7190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009432081.5?report=genbank&log$=nucltop&blast_rank=8&RID=X1JTA680014"",""XM_009432081.5"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X15, mRNA",Pan troglodytes,12689,12689,100%,0.0,99.03,7106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669719.2?report=genbank&log$=nucltop&blast_rank=9&RID=X1JTA680014"",""XM_054669719.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X8, mRNA",Pan troglodytes,12689,12689,100%,0.0,99.03,7187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669712.2?report=genbank&log$=nucltop&blast_rank=10&RID=X1JTA680014"",""XM_054669712.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X6, mRNA",Pan troglodytes,12689,12689,100%,0.0,99.03,7110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009432084.5?report=genbank&log$=nucltop&blast_rank=11&RID=X1JTA680014"",""XM_009432084.5"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X4, mRNA",Pan troglodytes,12689,12689,100%,0.0,99.03,7187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669708.2?report=genbank&log$=nucltop&blast_rank=12&RID=X1JTA680014"",""XM_054669708.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X14, mRNA",Pan troglodytes,12669,12669,100%,0.0,98.98,7107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669716.2?report=genbank&log$=nucltop&blast_rank=13&RID=X1JTA680014"",""XM_054669716.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X12, mRNA",Pan troglodytes,12669,12669,100%,0.0,98.98,7184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669715.2?report=genbank&log$=nucltop&blast_rank=14&RID=X1JTA680014"",""XM_054669715.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X10, mRNA",Pan troglodytes,12669,12669,100%,0.0,98.98,7107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669713.2?report=genbank&log$=nucltop&blast_rank=15&RID=X1JTA680014"",""XM_054669713.2"")"
"PREDICTED: Gorilla gorilla gorilla BRCA1 DNA repair associated (BRCA1), transcript variant X1, mRNA",Gorilla gorilla gorilla,12658,12658,100%,0.0,98.89,7247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031011552.3?report=genbank&log$=nucltop&blast_rank=16&RID=X1JTA680014"",""XM_031011552.3"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X16, mRNA",Pan troglodytes,12650,12650,100%,0.0,98.94,7104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669718.2?report=genbank&log$=nucltop&blast_rank=17&RID=X1JTA680014"",""XM_054669718.2"")"
"PREDICTED: Gorilla gorilla gorilla BRCA1 DNA repair associated (BRCA1), transcript variant X7, mRNA",Gorilla gorilla gorilla,12637,12637,100%,0.0,98.85,7244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031011556.3?report=genbank&log$=nucltop&blast_rank=18&RID=X1JTA680014"",""XM_031011556.3"")"
"PREDICTED: Gorilla gorilla gorilla BRCA1 DNA repair associated (BRCA1), transcript variant X4, mRNA",Gorilla gorilla gorilla,12637,12637,100%,0.0,98.85,7211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_055388012.2?report=genbank&log$=nucltop&blast_rank=19&RID=X1JTA680014"",""XM_055388012.2"")"
"PREDICTED: Gorilla gorilla gorilla BRCA1 DNA repair associated (BRCA1), transcript variant X3, mRNA",Gorilla gorilla gorilla,12637,12637,100%,0.0,98.85,7244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031011555.3?report=genbank&log$=nucltop&blast_rank=20&RID=X1JTA680014"",""XM_031011555.3"")"
