Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 1, mRNA",Homo sapiens,13090,13090,100%,0.0,100.00,7088,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_007294.4?report=genbank&log$=nucltop&blast_rank=1&RID=X1JR6XB8016"",""NM_007294.4"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 36, mRNA",Homo sapiens,13069,13069,100%,0.0,99.96,7085,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407624.1?report=genbank&log$=nucltop&blast_rank=2&RID=X1JR6XB8016"",""NM_001407624.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 28, mRNA",Homo sapiens,13069,13069,100%,0.0,99.96,7085,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407616.1?report=genbank&log$=nucltop&blast_rank=3&RID=X1JR6XB8016"",""NM_001407616.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 23, mRNA",Homo sapiens,13069,13069,100%,0.0,99.96,7085,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407611.1?report=genbank&log$=nucltop&blast_rank=4&RID=X1JR6XB8016"",""NM_001407611.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 53, mRNA",Homo sapiens,13051,13051,100%,0.0,99.92,7082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407641.1?report=genbank&log$=nucltop&blast_rank=5&RID=X1JR6XB8016"",""NM_001407641.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 18, mRNA",Homo sapiens,13051,13051,100%,0.0,99.92,7082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407598.1?report=genbank&log$=nucltop&blast_rank=6&RID=X1JR6XB8016"",""NM_001407598.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 49, mRNA",Homo sapiens,13051,13051,100%,0.0,99.92,7082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407637.1?report=genbank&log$=nucltop&blast_rank=7&RID=X1JR6XB8016"",""NM_001407637.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 40, mRNA",Homo sapiens,13051,13051,100%,0.0,99.92,7082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407628.1?report=genbank&log$=nucltop&blast_rank=8&RID=X1JR6XB8016"",""NM_001407628.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 38, mRNA",Homo sapiens,13031,13031,100%,0.0,99.87,7079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407626.1?report=genbank&log$=nucltop&blast_rank=9&RID=X1JR6XB8016"",""NM_001407626.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 26, mRNA",Homo sapiens,13031,13031,100%,0.0,99.87,7079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407614.1?report=genbank&log$=nucltop&blast_rank=10&RID=X1JR6XB8016"",""NM_001407614.1"")"
