Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Canis lupus dingo BRCA1 DNA repair associated (BRCA1), transcript variant X8, mRNA",Canis lupus dingo,5744,6162,93%,0.0,83.73,7002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_025440436.3?report=genbank&log$=nucltop&blast_rank=1&RID=X4SMSJBG014"",""XM_025440436.3"")"
"PREDICTED: Canis lupus familiaris BRCA1 DNA repair associated (BRCA1), transcript variant X8, mRNA",Canis lupus familiaris,5744,6162,93%,0.0,83.73,7010,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_038674917.1?report=genbank&log$=nucltop&blast_rank=2&RID=X4SMSJBG014"",""XM_038674917.1"")"
"PREDICTED: Canis lupus dingo BRCA1 DNA repair associated (BRCA1), transcript variant X7, mRNA",Canis lupus dingo,5742,6160,93%,0.0,83.74,6873,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_025440437.3?report=genbank&log$=nucltop&blast_rank=3&RID=X4SMSJBG014"",""XM_025440437.3"")"
"PREDICTED: Canis lupus dingo BRCA1 DNA repair associated (BRCA1), transcript variant X6, mRNA",Canis lupus dingo,5742,6160,93%,0.0,83.74,6943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_025440435.3?report=genbank&log$=nucltop&blast_rank=4&RID=X4SMSJBG014"",""XM_025440435.3"")"
"PREDICTED: Canis lupus dingo BRCA1 DNA repair associated (BRCA1), transcript variant X2, mRNA",Canis lupus dingo,5742,6160,93%,0.0,83.74,6873,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_025440431.3?report=genbank&log$=nucltop&blast_rank=5&RID=X4SMSJBG014"",""XM_025440431.3"")"
"PREDICTED: Canis lupus familiaris BRCA1 DNA repair associated (BRCA1), transcript variant X7, mRNA",Canis lupus familiaris,5742,6160,93%,0.0,83.74,6952,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_038674916.1?report=genbank&log$=nucltop&blast_rank=6&RID=X4SMSJBG014"",""XM_038674916.1"")"
"PREDICTED: Canis lupus familiaris BRCA1 DNA repair associated (BRCA1), transcript variant X6, mRNA",Canis lupus familiaris,5742,6160,93%,0.0,83.74,6877,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_038674915.1?report=genbank&log$=nucltop&blast_rank=7&RID=X4SMSJBG014"",""XM_038674915.1"")"
"PREDICTED: Canis lupus familiaris BRCA1 DNA repair associated (BRCA1), transcript variant X2, mRNA",Canis lupus familiaris,5742,6160,93%,0.0,83.74,7189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_038674910.1?report=genbank&log$=nucltop&blast_rank=8&RID=X4SMSJBG014"",""XM_038674910.1"")"
"PREDICTED: Canis lupus baileyi BRCA1 DNA repair associated (BRCA1), transcript variant X9, mRNA",Canis lupus baileyi,5738,6168,93%,0.0,83.72,6987,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_072780682.1?report=genbank&log$=nucltop&blast_rank=9&RID=X4SMSJBG014"",""XM_072780682.1"")"
"PREDICTED: Canis lupus baileyi BRCA1 DNA repair associated (BRCA1), transcript variant X8, mRNA",Canis lupus baileyi,5736,6166,93%,0.0,83.72,6877,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_072780681.1?report=genbank&log$=nucltop&blast_rank=10&RID=X4SMSJBG014"",""XM_072780681.1"")"



		


